match_id,first_5_won
2490198724,FALSE
2490198618,FALSE
2490198491,TRUE
2490198293,TRUE
2490198141,TRUE
2490198085,FALSE
2490198080,FALSE
2490198072,FALSE
2490198071,TRUE
2490198018,FALSE
2490197928,TRUE
2490197892,TRUE
2490197863,TRUE
2490197853,FALSE
2490197731,FALSE
2490197699,FALSE
2490197549,FALSE
2490197472,TRUE
2490196702,TRUE
2490196538,FALSE
2490196320,FALSE
2490196286,TRUE
2490196258,TRUE
2490196257,FALSE
2490196256,FALSE
2490307561,FALSE
2490304053,TRUE
2490298392,FALSE
2490292625,TRUE
2490289489,TRUE
2490281197,FALSE
2490280176,TRUE
2490274133,FALSE
2490271931,TRUE
2490271247,FALSE
2490271050,FALSE
2490270496,FALSE
2490269590,TRUE
2490269039,FALSE
2490268632,FALSE
2490267273,FALSE
2490266667,TRUE
2490266573,TRUE
2490265268,FALSE
2490264964,TRUE
2490264836,TRUE
2490263965,TRUE
2490262884,TRUE
2490262745,TRUE
2490262258,TRUE
2490261618,TRUE
2490261590,TRUE
2490261487,FALSE
2490261263,TRUE
2490261155,FALSE
2490261124,FALSE
2490260443,FALSE
2490260146,FALSE
2490260098,FALSE
2490259875,FALSE
2490259269,TRUE
2490258852,TRUE
2490258334,TRUE
2490257639,FALSE
2490257607,FALSE
2490257219,FALSE
2490257102,FALSE
2490257052,TRUE
2490256379,TRUE
2490256063,TRUE
2490255306,TRUE
2490255275,TRUE
2490255217,TRUE
2490255078,FALSE
2490254890,FALSE
2490254317,FALSE
2490253950,FALSE
2490253571,TRUE
2490253244,FALSE
2490253009,TRUE
2490252916,FALSE
2490252883,TRUE
2490252127,TRUE
2490252046,TRUE
2490251854,FALSE
2490251595,TRUE
2490251556,TRUE
2490251553,TRUE
2490251440,TRUE
2490251061,TRUE
2490250987,TRUE
2490250946,TRUE
2490250069,FALSE
2490250027,TRUE
2490249929,FALSE
2490249729,TRUE
2490249454,FALSE
2490249131,FALSE
2490249029,FALSE
2490248842,TRUE
2490248820,TRUE
2490248596,TRUE
2490248500,TRUE
2490248444,FALSE
2490248210,FALSE
2490248180,FALSE
2490247959,FALSE
2490247941,FALSE
2490247755,TRUE
2490247501,TRUE
2490247124,TRUE
2490247023,TRUE
2490246928,FALSE
2490246794,TRUE
2490246157,FALSE
2490246141,FALSE
2490245744,FALSE
2490245646,FALSE
2490245637,TRUE
2490245535,TRUE
2490245407,TRUE
2490245370,FALSE
